,company,line,departure_time,arrival_time,start_stop,end_stop,start_stop_lat,start_stop_lon,end_stop_lat,end_stop_lon
0,MPK Autobusy,A,20:52:00,20:53:00,Zajezdnia Obornicka,Paprotna,51.14873744,17.02106859,51.14775215,17.02053929
1,MPK Autobusy,A,20:53:00,20:54:00,Paprotna,Obornicka (Wołowska),51.14775215,17.02053929,51.144385,17.023735
2,MPK Autobusy,A,20:54:00,20:55:00,Obornicka (Wołowska),Bezpieczna,51.144385,17.023735,51.14136001,17.02637623
3,MPK Autobusy,A,20:55:00,20:57:00,Bezpieczna,Bałtycka,51.14136001,17.02637623,51.13663187,17.0306168
4,MPK Autobusy,A,20:57:00,20:59:00,Bałtycka,Broniewskiego,51.13663187,17.0306168,51.13585101,17.03738306
5,MPK Autobusy,A,20:59:00,21:00:00,Broniewskiego,Pola,51.13585101,17.03738306,51.13674862,17.04469823
6,MPK Autobusy,A,21:00:00,21:01:00,Pola,Syrokomli,51.13674862,17.04469823,51.137303,17.048892
7,MPK Autobusy,A,21:01:00,21:02:00,Syrokomli,Kasprowicza,51.137303,17.048892,51.13786515,17.05367076
8,MPK Autobusy,A,21:02:00,21:03:00,Kasprowicza,pl. Daniłowskiego,51.13786515,17.05367076,51.13881054,17.06030177
9,MPK Autobusy,A,21:03:00,21:04:00,pl. Daniłowskiego,Przybyszewskiego,51.13881054,17.06030177,51.14011673,17.06296696
10,MPK Autobusy,A,21:04:00,21:05:00,Przybyszewskiego,Czajkowskiego,51.14011673,17.06296696,51.13916433,17.06510721
11,MPK Autobusy,A,21:05:00,21:07:00,Czajkowskiego,KOSZAROWA (Uniwersytet),51.13916433,17.06510721,51.14049516,17.06847989
12,MPK Autobusy,A,21:07:00,21:08:00,KOSZAROWA (Uniwersytet),KOSZAROWA (Szpital),51.14049516,17.06847989,51.14166292,17.06477615
13,MPK Autobusy,A,21:10:00,21:12:00,KOSZAROWA (Szpital),pl. Daniłowskiego,51.14166292,17.06477615,51.13845372,17.05991231
14,MPK Autobusy,A,21:12:00,21:13:00,pl. Daniłowskiego,Berenta,51.13845372,17.05991231,51.13578,17.05758711
15,MPK Autobusy,A,21:13:00,21:16:00,Berenta,KROMERA,51.13578,17.05758711,51.13164737,17.06263024
16,MPK Autobusy,A,21:16:00,21:18:00,KROMERA,Mosty Warszawskie,51.13164737,17.06263024,51.12800137,17.05485837
17,MPK Autobusy,A,21:18:00,21:20:00,Mosty Warszawskie,Wyszyńskiego,51.12800137,17.05485837,51.12268089,17.05257537
18,MPK Autobusy,A,21:20:00,21:22:00,Wyszyńskiego,Ogród Botaniczny,51.12268089,17.05257537,51.1161181,17.05107322
19,MPK Autobusy,A,21:22:00,21:23:00,Ogród Botaniczny,Katedra,51.1161181,17.05107322,51.1133059,17.04984723
20,MPK Autobusy,A,21:23:00,21:24:00,Katedra,Urząd Wojewódzki (Muzeum Narodowe),51.1133059,17.04984723,51.10991254,17.04769052
